Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,71.440000,-67.945000,0.000000,top
C2,20p,C_0805_2012Metric,71.435000,-80.645000,180.000000,top
C3,100p,C_0805_2012Metric,56.200000,-66.040000,180.000000,top
C4,100p,C_0805_2012Metric,56.200000,-86.995000,0.000000,top
C5,1n,C_0805_2012Metric,71.440000,-96.520000,180.000000,top
C6,100n,C_0805_2012Metric,55.565000,-44.450000,0.000000,top
C7,100n,C_0805_2012Metric,64.328000,-31.750000,180.000000,top
C8,10u,C_0805_2012Metric,36.195000,-39.690000,270.000000,top
C9,10u,C_0805_2012Metric,36.195000,-47.310000,270.000000,top
C10,330n,C_0805_2012Metric,35.560000,-58.105000,270.000000,top
C11,330n,C_0805_2012Metric,35.560000,-54.290000,90.000000,top
C12,100n,C_0805_2012Metric,36.515000,-84.836000,180.000000,top
C13,100n,C_0805_2012Metric,40.955000,-84.836000,180.000000,top
C14,100n,C_0805_2012Metric,36.515000,-73.660000,180.000000,top
C15,100n,C_0805_2012Metric,40.955000,-73.660000,180.000000,top
C16,100n,C_0805_2012Metric,61.910000,-86.995000,180.000000,top
C17,100n,C_0805_2012Metric,66.355000,-86.995000,180.000000,top
C18,100n,C_0805_2012Metric,38.735000,-58.100000,90.000000,top
C19,100n,C_0805_2012Metric,38.735000,-54.290000,90.000000,top
C20,100n,C_0805_2012Metric,34.290000,-66.995000,270.000000,top
C21,100n,C_0805_2012Metric,45.085000,-66.995000,270.000000,top
C22,100n,C_0805_2012Metric,56.195000,-96.520000,0.000000,top
C23,10n,C_0805_2012Metric,47.940000,-31.750000,180.000000,top
C24,10n,C_0805_2012Metric,47.940000,-28.575000,180.000000,top
C26,10n,C_0805_2012Metric,47.945000,-47.625000,0.000000,top
C27,100n,C_0805_2012Metric,61.910000,-73.152000,180.000000,top
C28,100n,C_0805_2012Metric,66.360000,-73.152000,180.000000,top
Q1,2N7002,SOT-23,55.880000,-73.025000,180.000000,top
R1,100k,R_0805_2012Metric,71.477500,-74.295000,0.000000,top
R2,100k,R_0805_2012Metric,71.397500,-71.120000,0.000000,top
R3,100k,R_0805_2012Metric,71.397500,-77.470000,180.000000,top
R4,100R,R_0805_2012Metric,71.397500,-64.770000,180.000000,top
R5,100k,R_0805_2012Metric,56.237500,-62.865000,0.000000,top
R6,10k,R_0805_2012Metric,56.237500,-69.215000,180.000000,top
R7,20k,R_0805_2012Metric,56.157500,-80.645000,180.000000,top
R8,20k,R_0805_2012Metric,56.157500,-77.470000,180.000000,top
R9,20k,R_0805_2012Metric,56.157500,-83.820000,0.000000,top
R10,49k9,R_0805_2012Metric,46.077500,-74.295000,0.000000,top
R12,49k9,R_0805_2012Metric,30.837500,-74.295000,180.000000,top
R13,200k,R_0805_2012Metric,30.837500,-71.120000,180.000000,top
R14,49k9,R_0805_2012Metric,46.077500,-87.122000,0.000000,top
R15,200k,R_0805_2012Metric,45.997500,-83.820000,0.000000,top
R16,49k9,R_0805_2012Metric,30.837500,-86.995000,180.000000,top
R17,200k,R_0805_2012Metric,30.837500,-83.820000,180.000000,top
R18,100k,R_0805_2012Metric,46.077500,-77.470000,180.000000,top
R19,200k,R_0805_2012Metric,30.837500,-77.470000,0.000000,top
R20,200k,R_0805_2012Metric,45.997500,-90.170000,180.000000,top
R21,200k,R_0805_2012Metric,30.757500,-90.170000,0.000000,top
R22,1k,R_0805_2012Metric,45.997500,-80.645000,180.000000,top
R23,1k,R_0805_2012Metric,30.837500,-80.645000,0.000000,top
R24,1k,R_0805_2012Metric,45.997500,-93.345000,180.000000,top
R25,1k,R_0805_2012Metric,30.757500,-93.345000,0.000000,top
R26,220k,R_0805_2012Metric,71.477500,-90.170000,0.000000,top
R27,220k,R_0805_2012Metric,71.477500,-86.995000,0.000000,top
R28,200k,R_0805_2012Metric,71.477500,-83.820000,0.000000,top
R29,51k,R_0805_2012Metric,71.477500,-93.345000,180.000000,top
R30,1k8,R_0805_2012Metric,30.757500,-63.500000,180.000000,top
R31,4k7,R_0805_2012Metric,41.552500,-63.500000,180.000000,top
R32,10k,R_0805_2012Metric,56.237500,-90.170000,180.000000,top
R33,10k,R_0805_2012Metric,56.237500,-93.345000,0.000000,top
R34,10k,R_0805_2012Metric,47.982500,-34.925000,180.000000,top
R35,100k,R_0805_2012Metric,71.477500,-44.450000,0.000000,top
R36,100k,R_0805_2012Metric,71.524500,-28.702000,0.000000,top
R37,1M,R_0805_2012Metric,71.477500,-31.750000,0.000000,top
R41,470k,R_0805_2012Metric,47.982500,-38.100000,180.000000,top
R42,10k,R_0805_2012Metric,71.477500,-47.625000,0.000000,top
R43,270k,R_0805_2012Metric,71.477500,-50.800000,180.000000,top
R44,47k,R_0805_2012Metric,47.982500,-41.275000,0.000000,top
R45,270R,R_0805_2012Metric,47.902500,-44.450000,180.000000,top
R46,3k9,R_0805_2012Metric,64.412500,-41.275000,180.000000,top
R47,4k7,R_0805_2012Metric,64.412500,-44.450000,0.000000,top
R48,12k,R_0805_2012Metric,64.412500,-38.100000,0.000000,top
R49,4k7,R_0805_2012Metric,64.365500,-34.925000,180.000000,top
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,38.507000,-79.375000,180.000000,top
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,38.507000,-90.155000,180.000000,top
U4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,64.135000,-78.740000,180.000000,top
U5,TL072,SOIC-8_3.9x4.9mm_P1.27mm,64.135000,-92.710000,180.000000,top
U6,LM311,SOIC-8_3.9x4.9mm_P1.27mm,64.135000,-67.310000,180.000000,top
